time,V1,V2,V3,I1,I2,I3
0.6316,-128.518291469307,183.452451898284,-54.934160428778,1575.03287426342,-2596.88772504281,1021.85485079843
0.63165,-130.665180724688,182.757671484945,-52.0924907600466,1607.8296727042,-2591.63021214462,983.800539459296
0.6317,-132.779754774143,182.017680536019,-49.2379257616522,1640.23065350726,-2585.72189497806,945.491241489495
0.63175,-134.861467097902,181.232667315206,-46.3712002170672,1672.2277242331,-2579.16429037093,906.936566156338
0.6318,-136.909779413752,180.402832022411,-43.4930526084084,1703.81283811147,-2571.95910201815,868.146263925008
0.63185,-138.924162375523,179.528386742637,-40.6042243668503,1734.97799718549,-2564.10821769057,829.130220523221
0.6319,-140.904096236978,178.609555384252,-37.7054591469988,1765.71525705785,-2555.61370625873,789.898449218825
0.63195,-142.849071468659,177.64657360672,-34.7975021377725,1796.01673309963,-2546.47781458377,750.461081501883
0.632,-144.758589316984,176.63968873791,-31.8810994206246,1825.87460794476,-2536.70296432731,710.828356400096
0.63205,-146.632162296801,175.589159681132,-28.9569973840173,1855.28114006145,-2526.29174873017,671.010608686051
0.6321,-148.469311290267,174.495254128673,-26.0259428380789,1884.22849577272,-2515.24678604818,631.018290292586
0.63215,-150.269557435095,173.358241743968,-23.0886843085335,1912.70846535852,-2503.57048565529,590.862020313671
0.6322,-152.032417287881,172.178390179729,-20.145972891496,1940.71259329651,-2491.26514981001,550.552556530188
0.63225,-153.757405400732,170.955967084128,-17.1985616830317,1968.23252624905,-2478.33324232233,510.100716089736
0.6323,-155.444038274966,169.691243245456,-14.2472049701137,1995.26006946073,-2464.77742383691,469.517354392416
0.63235,-157.09183816734,168.384495649871,-11.2926574821421,2021.78717814436,-2450.60053595586,428.813357827502
0.6324,-158.700337710651,167.036011146081,-8.33567343502927,2047.80601168916,-2435.80563290311,387.999621229709
0.63245,-160.269084193632,165.64608981531,-5.37700562126564,2073.30894264165,-2420.39597924145,347.087036615316
0.6325,-161.797643125877,164.215047746341,-2.41740462003939,2098.28855711039,-2404.37504178444,306.086484689331
0.63255,-163.285601036636,162.743219164861,0.542381872210669,2122.73766006956,-2387.74648596489,265.00882591036
0.6326,-164.73256736527,161.230957815515,3.50160955020303,2146.64927773828,-2370.51417146995,223.864893746442
0.63265,-166.138175488743,159.678637638409,6.45953785079276,2170.01666342367,-2352.68215187351,182.665488464358
0.6327,-167.502083013978,158.086652846066,9.41543016838206,2192.83330837573,-2334.25467936752,141.421371006042
0.63275,-168.823971481199,156.45541752289,12.3685539587911,2215.09295647661,-2315.23621367485,100.143257212228
0.6328,-170.103545644759,154.785364882449,15.3181807628027,2236.78962228997,-2295.63143454972,58.841812273475
0.63285,-171.340532485997,153.076946306595,18.2635861799052,2257.91761091552,-2275.44525646301,17.5276455609434
0.6329,-172.534680083348,151.330630265974,21.2040498178885,2278.4715376891,-2254.68284376869,-23.7886939072307
0.63295,-173.685756431072,149.546901193408,24.1388552381888,2298.4463458968,-2233.34962473321,-65.0967211506806
0.633,-174.793548261727,147.726258352417,27.0672899098461,2317.83732079632,-2211.45130293588,-106.386017847816
0.63305,-175.857859895117,145.869214717559,29.9886451781035,2336.64009857038,-2188.99386483116,-147.646233726876
0.6331,-176.878512111513,143.976295864095,32.902216247974,2354.8506692744,-2165.98358262617,-188.867086636172
0.63315,-177.855341030785,142.048038852527,35.8073021788247,2372.46537328432,-2142.42701199607,-230.038361276482
0.6332,-178.788196971876,140.084991089025,38.7032058834279,2389.48089118152,-2118.33098451621,-271.149906653842
0.63325,-179.676943267891,138.087709144512,41.5892341239659,2405.89422739162,-2093.70259500165,-312.191632378794
0.6333,-180.521455019169,136.056757521854,44.464697497911,2421.70268819845,-2068.54918419598,-353.153503991593
0.63335,-181.321617777854,133.992707370256,47.3289104082028,2436.90385497951,-2042.8783174372,-394.025537531729
0.6334,-182.077326170621,131.8961351569,50.1811910143359,2451.4955536554,-2016.69776005215,-434.797793592983
0.63345,-182.788482479231,129.767621316383,53.0208611634716,2465.47582142195,-1990.015450298,-475.460371113993
0.6335,-183.454995209986,127.607748907452,55.847246303166,2478.84287185238,-1962.83947069214,-516.003401150585
0.63355,-184.076777691755,125.417102312879,58.6596753795172,2491.59505943251,-1935.1780185602,-556.41704086297
0.6336,-184.65374674738,123.196266021756,61.4574807262736,2503.73084453658,-1907.03937659648,-596.69146793108
0.63365,-185.185821484797,120.945823533807,64.2399979516486,2515.248759777,-1878.43188418111,-636.816875587185
0.6337,-185.672922252283,118.666356422758,67.0065658301913,2526.14737857562,-1849.36391013848,-676.783468428753
0.63375,-186.114969797264,116.358443590804,69.7565262071356,2536.42528671267,-1819.84382755713,-716.581459147467
0.6338,-186.511884660835,114.022660739294,72.4892239222237,2546.08105751497,-1789.87999122336,-756.201066283859
0.63385,-186.863586831084,111.659580072564,75.204006759211,2555.1132312478,-1759.4807181495,-795.63251309087
0.6339,-187.169995668426,109.269770242956,77.9002254261684,2563.52029917444,-1728.65427160291,-834.866027564429
0.63395,-187.431030105821,106.85379653608,80.5772335704474,2571.30069264271,-1697.4088489615,-873.891843674445
0.634,-187.646609116814,104.412221286706,83.2343878308209,2578.45277744723,-1665.75257363533,-912.700203805466
0.63405,-187.816652435027,101.945604507793,85.8710479279551,2584.97485359931,-1633.69349120079,-951.281362392412
0.6341,-187.941081500565,99.4545047082305,88.4865767930613,2590.86516051369,-1601.23956979476,-989.625590713146
