time,V1,V2,V3,I1,I2,I3
0.5,41.586450165422,-182.879399274937,141.292949109758,-32.5066531636422,2071.10284589358,-2038.59619274925
0.50005,44.5266319273001,-183.761828219804,139.235196292737,-69.814295282516,2089.30737951476,-2019.49308425157
0.5001,47.4559311266895,-184.598510313764,137.142579187296,-107.105528379571,2106.97183384765,-1999.86630548741
0.50015,50.3736855768657,-185.389401154408,135.015715577753,-144.371502829208,2124.09012623958,-1979.71862342972
0.5002,53.279177005243,-186.134372304481,132.855195299437,-181.609642874298,2140.66852355515,-1959.0588807002
0.50025,56.1716185045389,-186.833185200056,130.661566695705,-218.818779748076,2156.71644347398,-1937.89766374524
0.5003,59.0501766755912,-187.485528563618,128.435351888203,-255.995093382068,2172.23903980285,-1916.24394644012
0.50035,61.9139979328109,-188.09106294559,126.177065012944,-293.131645395266,2187.23639133847,-1894.10474596253
0.5004,64.7622363737427,-188.649467537955,123.887231164365,-330.218222185017,2201.70327196519,-1871.48504979947
0.50045,67.5940821802773,-189.160487175967,121.56640499583,-367.241300120968,2215.62916956589,-1848.3878694642
0.5005,70.4087840442522,-189.623968219157,119.215184175035,-404.184770365424,2228.9996209062,-1824.81485056002
0.50055,73.2056639431523,-190.039880492859,116.834216549825,-441.030853824859,2241.79786523544,-1800.7670114298
0.5006,75.9841085006513,-190.408301389678,114.424192889133,-477.762854396989,2254.00926960396,-1776.24641522615
0.50065,78.7435160812778,-190.729332474303,111.98581639312,-514.370733018457,2265.62978126828,-1751.25904826896
0.5007,81.483235639301,-191.003005348774,109.519769709556,-550.852693483284,2276.6680744235,-1725.81538095931
0.50075,84.2025545487789,-191.229261329536,107.026706780827,-587.209102318526,2287.13637223213,-1699.92726993263
0.5008,86.9007236428111,-191.407985667506,104.507262024754,-623.437298574059,2297.04282136131,-1673.60552280622
0.50085,89.576986030224,-191.539047268692,101.962061238516,-659.531018638088,2306.39063822448,-1646.8596196053
0.5009,92.2306075304535,-191.622340666093,99.3917331356756,-695.480245256023,2315.17789218829,-1619.6976469511
0.50095,94.8609067228021,-191.657827165775,96.7969204429972,-731.271160613832,2323.39747097158,-1592.12631037652
0.501,97.4672775638544,-191.645565300933,94.1782877370909,-766.887045921805,2331.03837362743,-1564.15132772432
0.50105,100.049202856299,-191.585728224094,91.5365253677953,-802.309409743758,2338.0873220175,-1535.77791229236
0.5011,102.606240176461,-191.478585173354,88.872344996882,-837.521257801675,2344.53302366818,-1507.01176588503
0.50115,105.137953666684,-191.324415627551,86.1864619608441,-872.513475716999,2350.37409137856,-1477.86061567999
0.5012,107.64383279365,-191.123409061635,83.4795762679506,-907.286388195517,2355.62077175253,-1448.33438357536
0.50125,110.123271538138,-190.875639509898,80.7523679717141,-941.842716669013,2360.28626352929,-1418.44354687852
0.5013,112.575597351155,-190.581100176321,78.0055028251088,-976.181788557013,2364.37975703,-1388.19796849113
0.50135,115.000106064535,-190.239745087233,75.239639022628,-1010.29886971843,2367.90564519563,-1357.60677549524
0.5014,117.396098938576,-189.851533015828,72.4554340771702,-1044.18493553088,2370.86327903721,-1326.67834352426
0.50145,119.762920255819,-189.416471523871,69.653551267959,-1077.82661857555,2373.24696203191,-1295.42034347417
0.5015,122.099986374246,-188.934650552977,66.8346641786251,-1111.20720863003,2375.04716359814,-1263.8399549858
0.50155,124.40680394837,-188.40626291238,63.9994589638927,-1144.30791089816,2376.25203111551,-1231.94412023492
0.5016,126.682956635759,-187.831590279742,61.148633643854,-1177.11151378098,2376.8513839574,-1199.73987019385
0.50165,128.928033639442,-187.210928683536,58.2828950439533,-1209.60967523737,2376.84425757554,-1167.23458235549
0.5017,131.141548243037,-186.544504740661,55.4029564974704,-1241.80487865436,2376.24076084664,-1134.43588220945
0.50175,133.322920803656,-185.832457748373,52.5095369445513,-1273.70242583097,2375.05389204595,-1101.35146623201
0.5018,135.471510276067,-185.074870122854,49.6033598466099,-1305.30367672653,2373.29280004639,-1067.98912333674
0.50185,137.586650962452,-184.271802780914,46.6851518182737,-1336.60527833244,2370.9620536772,-1034.35677536149
0.5019,139.667691678549,-183.423332595271,43.7556409165223,-1367.59895457394,2368.06148661162,-1000.46253205425
0.50195,141.714034688993,-182.529589175799,40.8155544865949,-1398.27144774307,2364.5862171567,-966.314769430041
0.502,143.725165425507,-181.590782346027,37.8656169202962,-1428.60567139684,2360.52783413722,-931.922162756628
0.50205,145.700670778175,-180.607218231099,34.9065474526895,-1458.58215979503,2355.8758641418,-897.29370436285
0.5021,147.640223533792,-179.57928467216,31.9390611381218,-1488.18312436665,2350.62147005245,-862.438345701709
0.50215,149.543501145784,-178.507379979937,28.963878833896,-1517.40022632128,2344.76416781867,-827.363941513127
0.5022,151.410089411384,-177.391830056018,25.9817406443648,-1546.23641726483,2338.31327361544,-792.076856366168
0.50225,153.239459590856,-176.232868339936,22.9934087488011,-1574.69742224809,2331.28066500872,-756.583242776009
0.5023,155.031005382824,-175.030665676887,19.9996602937729,-1602.78480839422,2323.6750357837,-720.890227404672
0.50235,156.78408690989,-173.785365855732,17.0012789455414,-1630.49521835397,2315.50128652401,-685.00606818504
0.5024,158.498076995769,-172.497122762119,13.9990457660391,-1657.82013945224,2306.76036848462,-648.940229047184
0.50245,160.172407677446,-171.16613725898,10.9937295812115,-1684.74589612013,2297.44932863452,-612.703432529
0.5025,161.80660611087,-169.79268509241,7.98607898120753,-1711.25489110191,2287.56234930977,-576.307458222267
0.50255,163.400317115232,-168.377133641101,4.97681652552497,-1737.32715229861,2277.09202604038,-539.764873755964
0.5026,164.953288717592,-166.91993075296,1.96664203501421,-1762.94462570017,2266.0325804886,-503.087954802425
0.50265,166.465287370036,-165.42154336969,-1.04374400070939,-1788.09934529552,2254.38565247563,-466.286307193886
0.5027,167.935996488288,-163.882385466919,-4.05361102174262,-1812.79533170691,2242.1614884377,-429.36615674436
0.50275,169.364991434834,-162.302799775004,-7.06219166021435,-1837.03963313078,2229.3726463193,-392.33301320187
0.5028,170.751776665412,-160.683082056673,-10.0686946091344,-1860.83506451813,2216.02903011119,-355.193965606175
0.50285,172.09582987771,-159.023510033382,-13.0723198447331,-1884.17941200681,2202.13735191017,-317.957939916263
0.5029,173.39664842505,-157.32437364791,-16.0722747775551,-1907.06520374338,2187.70099112518,-280.635787394469
0.50295,174.653795991342,-155.586005158734,-19.0677908330332,-1929.47971931897,2172.72003421028,-243.240314903752
0.503,175.866938355613,-153.80880175264,-22.0581366034077,-1951.40629963853,2157.1921634489,-205.785863822576
0.50305,177.035865452889,-151.993238874766,-25.042626578568,-1972.82597259694,2141.11374875823,-168.287776173251
0.5031,178.160475515039,-150.13986049433,-28.0206150211632,-1993.72188978137,2124.48252940924,-130.760639639587
0.50315,179.240690858445,-148.249230267072,-30.9914605918358,-2014.08789253573,2107.30248169545,-93.2145891711991
0.5032,180.276362436233,-146.321877393378,-33.9544850433277,-2033.93073635187,2089.58492090855,-55.6541845679156
0.50325,181.267249297421,-144.358284618021,-36.9089646798825,-2053.26077733655,2071.34324912462,-18.082471799059
0.5033,182.213053708872,-142.358906496654,-39.8541472127087,-2072.08419129871,2052.58870814186,19.4954831461214
0.50335,183.113461917153,-140.324190577233,-42.7892713404208,-2090.40209965036,2033.32990975904,57.0721898808395
0.5034,183.968187258974,-138.254599629472,-45.7135876300118,-2108.21034135379,2013.57273060052,94.6376107430555
0.50345,184.777012514121,-136.150633124005,-48.6263793906346,-2125.49942413113,1993.32032578772,132.179098333447
0.5035,185.539821344661,-134.012842721791,-51.5269786233984,-2142.25584190422,1972.57384907382,169.681992820698
0.50355,186.256616375295,-131.841840537912,-54.4147758379193,-2158.4637203611,1951.33334092546,207.130379426205
0.5036,186.927499756811,-129.638289735115,-57.2892100222414,-2174.10926648904,1929.59982086476,244.509445615125
0.50365,187.552582649296,-127.402864212066,-60.149718437784,-2189.18913287686,1907.37891014783,281.810222720145
0.5037,188.131879097024,-125.136202780956,-62.9956763166292,-2203.71228738076,1884.68149537699,319.030791995148
0.50375,188.665279059133,-122.838897234242,-65.8263818254603,-2217.69081628062,1861.51981832441,356.170997947868
0.5038,189.152585354992,-120.511506583826,-68.6410787717435,-2231.13250708712,1837.90445924598,393.228047833071
0.50385,189.593558164083,-118.154574223856,-71.4389839408123,-2244.04000010587,1813.84400932053,430.195990777554
0.5039,189.987962040618,-115.768645841667,-74.2193161995438,-2256.41051624844,1789.34498926601,467.065526974919
0.50395,190.335613202904,-113.354286997404,-76.9813262061007,-2268.23583356421,1764.41188780302,503.82394575397
0.504,190.636415751353,-110.912096042403,-79.7243197095568,-2279.50357407052,1739.04769663244,540.455877431152
0.50405,190.890383959181,-108.442711312915,-82.4476726468806,-2290.19881233688,1713.25456507659,576.94424725364
0.5041,191.09762700101,-105.946805689838,-85.1508213117931,-2300.30843018422,1687.03524968033,613.273180497537
0.50415,191.258266912042,-103.425061310726,-87.8332056019437,-2309.82944994993,1660.39556111339,649.433888830478
0.5042,191.372346004699,-100.87814223637,-90.4942037689636,-2318.77113537854,1633.3448285206,685.426306852171
0.50425,191.439807266115,-98.3066879215119,-93.1331193452432,-2327.14592324527,1605.89331451806,721.252608721727
0.5043,191.460528685654,-95.7113210023114,-95.7492076839895,-2334.96190761,1578.05022105237,756.91168655244
0.50435,191.434363155953,-93.0926564279233,-98.3417067286826,-2342.2220163742,1549.82349582706,792.39852054225
0.5044,191.361180765483,-90.4513110374853,-100.909869728656,-2348.92382550011,1521.21982146157,827.704004033943
0.50445,191.240910448944,-87.7879126837674,-103.45299776584,-2355.05956151955,1492.24467587924,862.81488563601
0.5045,191.073571269229,-85.1031066263767,-105.970464643522,-2360.61741754643,1462.90270260634,897.71471493609
0.50455,190.859290971919,-82.3975586726139,-108.461732299981,-2365.58318746019,1433.19815302799,932.385034428497
0.5046,190.598289382628,-79.6719518938222,-110.926337489486,-2369.94449886876,1403.13568553546,966.808813329891
0.50465,190.290795948103,-76.9269739478483,-113.36382200094,-2373.698617695,1372.72149227271,1000.9771254192
0.5047,189.936953268587,-74.1633038435842,-115.773649425694,-2376.85418151158,1341.96340280334,1034.89077870544
0.50475,189.536793811438,-71.3816087563554,-118.155185055779,-2379.42275338315,1310.86977461461,1068.55297876605
0.5048,189.090275221579,-68.5825476009466,-120.507727621332,-2381.41206753558,1279.44875394943,1101.96331358395
0.50485,188.597322350025,-65.7667752228551,-122.830547127874,-2382.82530515092,1247.70822317872,1135.11708197031
0.5049,188.057871286889,-62.9349465304185,-125.122924757179,-2383.66089935931,1215.65581713049,1168.00508222724
0.50495,187.471913248351,-60.0877201305974,-127.384193118467,-2383.9125704543,1183.29898266772,1200.6135877853
0.505,186.839527984804,-57.2257606177257,-129.613767367796,-2383.57054474126,1150.64512749199,1232.92541724829
0.50505,186.160904110902,-54.3497393229902,-131.811164788633,-2382.62305834479,1117.70178586637,1264.92127247775
0.5051,185.436325635635,-51.4603341594607,-133.975991476899,-2381.06025853725,1084.47669753294,1296.58356100394
0.50515,184.66609655842,-48.558230941484,-136.107865617665,-2378.88136516832,1050.97759293823,1327.90377223004
0.5052,183.850451793224,-45.644126374816,-138.20632541914,-2376.09620442024,1017.21197443833,1358.88422998215
0.50525,182.989534802019,-42.718728443982,-140.270806358772,-2372.71739751741,983.187432396861,1389.5299651211
0.5053,182.083428517522,-39.7827533567687,-142.300675161492,-2368.75414082851,948.912055292907,1419.84208553646
0.50535,181.132192168833,-36.8369218816875,-144.295270287886,-2364.21152668412,914.394489686936,1449.81703699835
0.5054,180.135899893049,-33.8819552587917,-146.253944635,-2359.0903570518,879.643979582417,1479.44637747085
0.50545,179.094679305882,-30.9185706467643,-148.176108659862,-2353.3871756567,844.670411459478,1508.716764199
0.5055,178.00874072968,-27.9474770900262,-150.061263640401,-2347.09538071436,809.484241930452,1537.61113878599
0.50555,176.878394773937,-24.9693722867011,-151.909022487985,-2340.20659759431,774.09639266127,1566.11020493542
0.5056,175.704039800665,-21.9849445973579,-153.719095204057,-2332.71418682899,738.517618517212,1594.19656831448
0.50565,174.486097114198,-18.9948873015291,-155.491209813421,-2324.61976662762,702.756935492898,1621.86283113772
0.5057,173.224938480665,-15.9999160920814,-157.225022389336,-2315.93477254766,666.821034222018,1649.11373832894
0.50575,171.920870364052,-13.0007722820056,-158.9200980828,-2306.67339385014,630.716041529444,1675.9573523243
0.5058,170.574159447026,-9.99821422596937,-160.575945221811,-2296.84678736496,594.449148206959,1702.39763916191
0.50585,169.185062205774,-6.99300736884559,-162.192054837683,-2286.46243246042,558.028799819822,1728.4336326448
0.5059,167.753856031911,-3.98591353826697,-163.767942494399,-2275.5239764513,521.464764558141,1754.05921189767
0.50595,166.280869505302,-0.977680022433681,-165.303189483624,-2264.03123082999,484.768185918118,1779.26304491668
0.506,164.766504513706,2.030969098539,-166.797473613001,-2251.98115147371,447.951304998579,1804.02984648023
0.50605,163.211248480377,5.03933874130506,-168.250587222438,-2239.36905404112,411.027100912981,1828.34195313354
0.5061,161.615660978837,8.04675761770297,-169.662418597295,-2226.19164751607,374.007980649584,1852.18366687217
0.50615,159.980313937595,11.0525493553811,-171.03286329373,-2212.45248255513,336.902973950254,1875.54950861085
0.5062,158.305722682728,14.0559969784966,-172.361719661979,-2198.16305088334,299.716938705592,1898.44611218402
0.50625,156.59232819547,17.0563342963282,-173.648662492552,-2183.33685691381,262.453714580011,1920.88314234035
